brand,color,engine,gear,fuel,route,year,mileage,price
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,6,18277,13665000
Land Rover,Wine,6-cylinder(V6),automatic,petrol,Foreign Used,10,83091,9915000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,91524,3815000
Toyota,Wine,6-cylinder(V6),automatic,petrol,Foreign Used,12,94177,7385000
Toyota,White,4-cylinder(I4),automatic,petrol,Locally used,18,216375,1465000
Land Rover,Black,8-cylinder(V8),automatic,petrol,Foreign Used,14,22360,4615000
others,Black,4-cylinder(I4),automatic,petrol,Foreign Used,15,82595,2665000
Toyota,Blue,6-cylinder(I6),automatic,petrol,Foreign Used,14,265550,7680000
Ford,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,14,234957,3165000
Honda,Black,4-cylinder(I4),automatic,petrol,Locally used,10,140260,2085000
Volvo,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,14,168509,2615000
Lexus,Silver,6-cylinder(I6),automatic,petrol,Locally used,14,97021,3515000
BMW,Black,8-cylinder(V8),automatic,petrol,Foreign Used,13,82967,6630000
Infiniti,White,6-cylinder(V6),automatic,petrol,Foreign Used,9,205729,6840000
Honda,Black,4-cylinder(I4),automatic,petrol,Locally used,26,247731,455000
Mercedes Benz,Blue,6-cylinder(V6),automatic,petrol,Foreign Used,8,103558,10080000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,20,184230,1203000
Hyundai,Gold,6-cylinder(V6),automatic,petrol,Foreign Used,9,145678,5500000
Lexus,Silver,8-cylinder(V8),automatic,petrol,Foreign Used,6,38031,17515000
BMW,Black,6-cylinder(V6),automatic,petrol,Locally used,16,130364,1615000
Toyota,Green,4-cylinder(I4),automatic,petrol,Foreign Used,13,115442,3095000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,6,31312,7965000
Toyota,White,6-cylinder(I6),automatic,petrol,Foreign Used,9,75261,6915000
Honda,White,6-cylinder(V6),automatic,petrol,Foreign Used,18,228757,1570000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,10,84194,4215000
Toyota,Black,6-cylinder(V6),automatic,petrol,Foreign Used,8,73807,8815000
